restaurant_id,date,metro_station,rest_name,full_address,target,longitude,latitude,chain_flg,avg_bill,rest_type,metro_distance,center_distance,avg_rating,rating_count,review_count,comp_100m,comp_200m,comp_300m,comp_rating_avg_100m,comp_rating_avg_200m,comp_rating_avg_300m,flag_no_comp_100m,flag_no_comp_200m,reviews_count_collected,avg_review_len_chars,avg_review_len_words,positive_share,neutral_share,negative_share,avg_sentiment_score,service_complaint_share,food_complaint_share,price_complaint_share,negative_service_share,negative_food_share,negative_price_share,service_among_negative_share,food_among_negative_share,price_among_negative_share,spark_link,egrul_flg,revenue_2025_m,net_profit_2025_m,arbitration_case_count,inspection_count,inn
12,2026-03-03T15:46:29+00:00,Лубянка,Люди в синем,"ул. Большая Лубянка, 13/16с1",1.0,37.629088,55.764067,0.0,2500.0,Bar,500.0,1167,5.0,100.0,67,1.0,4.0,12.0,4.2,4.65,4.725,0,0,50,290,42,0.9,0.04,0.06,0.84,0.08,0.04,0.04,0.02,0.0,0.04,0.3333,0.0,0.6667,-,-,-,-,-,-,-
13,2026-03-22,Театральная,Марчеллис,ул. Большая Дмитровка 5/6,0.0,37.615557,55.759974,0.0,2300.0,Restaurant,324.0,481,4.8,7222.0,4815,6.0,13.0,22.0,4.6333,4.5308,4.5636,0,0,50,422,62,0.92,0.02,0.06,0.86,0.12,0.1,0.06,0.02,0.0,0.02,0.3333,0.0,0.3333,https://spark-interfax.ru/system/home/card#/company/BFCB6D219B0B1797E053219AA8C071E2/101,0,"85,5","-1,5",3,2,7707451473
14,2026-03-22,Пушкинская,Margarita / Маргарита,ул. М. Бронная 28,0.0,37.594288,55.763624,0.0,2700.0,Restaurant,865.0,1698,4.8,3141.0,2094,9.0,19.0,24.0,4.5444,4.5579,4.5783,0,0,50,486,75,0.58,0.06,0.36,0.22,0.16,0.14,0.14,0.14,0.12,0.1,0.3889,0.3333,0.2778,-,-,-,-,-,-,-
15,2026-03-02T12:06:13+00:00,Смоленская,АВИС," Арбат, 31",0.0,37.592872,55.749712,0.0,2000.0,Restaurant,710.0,1689,4.8,127.0,85,5.0,10.0,17.0,04.04,4.2,4.3353,0,0,48,142,20,0.8125,0.0208,0.1667,0.6458,0.0417,0.0417,0.0208,0.0208,0.0208,0.0,0.125,0.125,0.0,-,-,-,-,-,-,-
16,2026-02-24T15:51:55+00:00,Цветной бульвар,Правда?,Садовая-Самотечная 4А,0.0,37.613293,55.773035,0.0,1500.0,Bar,420.0,1935,4.3,97.0,65,1.0,4.0,12.0,4.2,4.65,4.725,0,0,50,201,27,0.78,0.0,0.22,0.56,0.04,0.0,0.06,0.02,0.0,0.02,0.0909,0.0,0.0909,-,-,-,-,-,-,-
17,2026-02-18T14:12:45+00:00,Сухаревская,Pims,"Сретенка, 27с1",1.0,37.632174,55.771332,1.0,800.0,Café,220.0,1953,4.7,152.0,101,16.0,29.0,37.0,4.5187,4.4964,4.5382,0,0,50,260,40,0.74,0.0,0.26,0.48,0.18,0.06,0.0,0.08,0.04,0.0,0.3077,0.1538,0.0,https://spark-interfax.ru/system/home/card#/company/D34E192A6DDD271EE053219AA8C024BC/101,0,"181,4","6,3",0,0,9723132372
18,2026-02-12T16:07:26+00:00,Китай-город,Bad Crown Bar,"Забелина, 1",0.0,37.63778,55.754633,0.0,1500.0,Bar,290.0,1269,4.7,411.0,274,7.0,8.0,16.0,4.55,4.5143,4.5933,0,0,50,252,36,0.8,0.06,0.14,0.66,0.14,0.0,0.0,0.06,0.0,0.0,0.4286,0.0,0.0,https://spark-interfax.ru/system/home/card#/company/809F1CAC9D7E8EEBE0531B9AA8C0D676/101,0,"15,4","-0,9",4,1,9709041500
19,2026-02-10T08:04:10+00:00,Смоленская,Кофе твой друг,"Денежный переулок, 30",1.0,37.585822,55.74682,0.0,500.0,Coffee shop,230.0,2225,4.9,28.0,19,2.0,7.0,24.0,4.75,4.2714,4.5045,0,0,22,155,23,0.9091,0.0455,0.0455,0.8636,0.0455,0.0,0.0909,0.0,0.0,0.0455,0.0,0.0,1.0,https://spark-interfax.ru/system/home/card#/physicalperson/inn-503010178673/1,ИП,-,-,-,-,503010178673
20,2026-02-08T19:53:23+00:00,Кропоткинская,Остановка,"Болотная наб., 15",0.0,37.613071,55.742793,0.0,1600.0,Café,649.0,1474,4.3,211.0,141,2.0,7.0,24.0,4.75,4.2714,4.5045,0,0,50,275,42,0.62,0.02,0.36,0.26,0.3,0.06,0.12,0.26,0.06,0.06,0.7222,0.1667,0.1667,https://spark-interfax.ru/system/home/card#/company/BCA81C4459DA5DF9E053219AA8C025B2/101,0,382,1,18,2,7733365809
21,2026-02-06T15:37:34+00:00,Смоленская,Тресковия,"Смоленская ул., 3",1.0,37.581758,55.745293,0.0,2750.0,Restaurant,237.0,2529,5.0,274.0,183,2.0,13.0,20.0,4.25,4.7083,4.5444,0,0,50,434,65,0.84,0.04,0.12,0.72,0.08,0.22,0.08,0.06,0.06,0.0,0.5,0.5,0.0,https://spark-interfax.ru/system/home/card#/company/2876663D32B07942E063269AA8C04CCB/101,0,"38,5","-23,5",1,0,3900034311
22,2026-02-04T12:20:03+00:00,Парк культуры,Niqa,"Остоженка, 27к3",0.0,37.597171,55.738807,1.0,1250.0,Café,399.0,2281,4.8,801.0,534,4.0,11.0,22.0,04.05,4.3182,4.3368,0,0,50,337,51,0.6,0.04,0.36,0.24,0.14,0.18,0.08,0.12,0.14,0.06,0.3333,0.3889,0.1667,https://spark-interfax.ru/system/home/card#/company/53F84B6E849A4AAFB234EA9067B1B24A/101,0,"4,5","-23,7",23,0,7702757595
23,2026-02-02T19:15:03+00:00,Смоленская,Fish Культура,"Арбат, 17",0.0,37.596567,55.750969,0.0,2000.0,Restaurant,977.0,1422,4.5,2405.0,1603,4.0,10.0,19.0,4.575,4.51,4.3158,0,0,50,503,77,0.54,0.02,0.44,0.1,0.26,0.24,0.1,0.22,0.16,0.08,0.5,0.3636,0.1818,-,-,-,-,-,-,-
24,2026-02-02T14:17:39+00:00,Китай-город,Alexander's МитПоинт,"Лубянский проезд, 25с1",0.0,37.634613,55.754812,0.0,799.0,Fast-food outlet,98.0,1070,4.8,2329.0,1553,2.0,13.0,31.0,4.9,4.6,4.4467,0,0,50,284,43,0.86,0.06,0.08,0.78,0.16,0.12,0.0,0.04,0.0,0.0,0.5,0.0,0.0,-,-,-,-,-,-,-
25,2026-01-31T15:03:01+00:00,Смоленская,Котлеты Атлеты,"Смоленская площадь, 5",0.0,37.581036,55.748244,0.0,900.0,Fast-food outlet,123.0,2437,4.7,25.0,17,8.0,20.0,24.0,4.4,4.5333,4.5182,0,0,23,155,24,0.9565,0.0435,0.0,0.9565,0.0435,0.0435,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
26,2026-01-31T14:03:08+00:00,Трубная,Camera Obscura,"Рождественский бул., 1",0.0,37.624028,55.766751,1.0,700.0,Coffee shop,340.0,1282,4.5,184.0,123,15.0,19.0,27.0,4.3643,4.4765,4.384,0,0,50,213,33,0.7,0.04,0.26,0.44,0.18,0.14,0.06,0.14,0.06,0.0,0.5385,0.2308,0.0,https://spark-interfax.ru/system/home/card#/company/A35D382995AA40E9B9A6C62DE1068DF5/101,0,41,"-0,096",1,2,7719887585
27,2026-01-31T08:04:56+00:00,Лубянка,Шико,"Кузнецкий мост, 21/5",0.0,37.626294,55.762002,0.0,1500.0,Restaurant,262.0,878,5.0,335.0,223,6.0,13.0,23.0,4.5333,4.5615,4.5957,0,0,50,433,65,0.8,0.04,0.16,0.64,0.1,0.14,0.02,0.06,0.06,0.02,0.375,0.375,0.125,https://spark-interfax.ru/system/home/card#/company/06C0345839125A00E063259AA8C062B2/101,0,24,"-3,2",0,1,9725135587
28,2026-01-30T06:55:56+00:00,Театральная,Кофемания,"Красная площадь, 3",0.0,37.620414,55.755223,1.0,2250.0,Restaurant,300.0,187,4.5,717.0,478,5.0,12.0,22.0,3.88,4.35,4.4762,0,0,50,376,58,0.74,0.02,0.24,0.5,0.22,0.08,0.08,0.1,0.04,0.04,0.4167,0.1667,0.1667,https://spark-interfax.ru/system/home/card#/company/01E12E7399B60B70E063259AA8C00A8F/101,0,922,380,2,0,9704217824
29,2026-01-26T16:03:03+00:00,Курская,Vasilchuki Chaihona,"Земляной Вал, 33",0.0,37.658786,55.757514,1.0,2250.0,Café,69.0,2584,4.5,1265.0,843,15.0,27.0,32.0,4.2,4.3185,4.3563,0,0,50,498,75,0.6,0.02,0.38,0.22,0.24,0.3,0.04,0.22,0.26,0.04,0.5789,0.6842,0.1053,-,-,-,-,-,-,-
30,2026-01-26T15:04:02+00:00,Китай-город,Burger Heroes,"Маросейка, 4/2с1",0.0,37.633504,55.757355,1.0,800.0,Café,229.0,1010,4.6,2741.0,1827,20.0,35.0,41.0,4.265,4.3882,4.425,0,0,50,323,48,0.82,0.04,0.14,0.68,0.12,0.24,0.06,0.02,0.1,0.04,0.1429,0.7143,0.2857,https://spark-interfax.ru/system/home/card#/company/0DC283CD179C43F4A260921F454E1F6B/101,0,-,-0.037,1,0,9710015664
31,2026-01-25T15:42:08+00:00,Смоленская,Tuna Bar,"Новинскиц бульвар, 7",0.0,37.582634,55.751489,0.0,3000.0,Restaurant,455.0,2240,4.9,364.0,243,2.0,11.0,21.0,4.5,4.35,4.51,0,0,50,502,76,0.78,0.06,0.16,0.62,0.12,0.16,0.0,0.08,0.12,0.0,0.5,0.75,0.0,https://spark-interfax.ru/system/home/card#/company/14EECA26B8664F81E063259AA8C008CF/101,0,"30,4","2,9",1,0,9704239874
32,2026-01-25T14:41:55+00:00,Китай-город,Ложечка,"Яузский бульвар, 14/8",0.0,37.643639,55.75092,1.0,1000.0,Café,810.0,1717,5.0,172.0,115,5.0,9.0,17.0,4.76,4.7556,4.7188,0,0,50,348,51,0.78,0.08,0.14,0.64,0.08,0.06,0.02,0.0,0.02,0.02,0.0,0.1429,0.1429,https://spark-interfax.ru/system/home/card#/company/3FE06094AD81461589FC4450752D7CDA/101,1,-,-,0,0,7709458097
33,2026-01-25T09:24:29+00:00,Чистые пруды,Fish Культура,"ул. Покровка, 21-23/25с1",0.0,37.647201,55.759737,0.0,2000.0,Restaurant,846.0,1903,4.8,1479.0,986,7.0,17.0,25.0,4.4429,4.3824,4.404,0,0,50,454,69,0.6,0.06,0.34,0.26,0.14,0.12,0.1,0.12,0.06,0.04,0.3529,0.1765,0.1176,-,-,-,-,-,-,-
34,2026-01-22T19:10:01+00:00,Китай-город,Айва,"Покровка, 3/7с1А",1.0,37.640502,55.758776,0.0,700.0,Café,594.0,1471,4.4,716.0,477,14.0,24.0,36.0,4.5643,4.6042,4.5086,0,0,50,321,48,0.7,0.04,0.26,0.44,0.16,0.2,0.02,0.08,0.12,0.0,0.3077,0.4615,0.0,https://spark-interfax.ru/system/home/card#/company/6BA28F118E526A9FE0531B9AA8C06E8E/101,0,"4,2","-14,3",11,2,7713459255
35,2026-01-20T15:33:46+00:00,Трубная,Flight Coffee,"Рождественский бульвар, 5/7с1",0.0,37.624914,55.766991,1.0,1000.0,Coffee shop,367.0,1326,5.0,370.0,247,15.0,19.0,28.0,4.2643,4.3941,4.3731,0,0,50,385,58,0.78,0.06,0.16,0.62,0.2,0.06,0.0,0.12,0.04,0.0,0.75,0.25,0.0,-,-,-,-,-,-,-
36,2026-01-17T18:16:57+00:00,Сухаревская,Beerside,"Большая Сухаревская площадь, 9",0.0,37.638401,55.772527,0.0,1000.0,Pub,416.0,2270,4.8,1629.0,1086,2.0,4.0,6.0,4.95,4.875,4.85,0,0,50,281,40,0.76,0.04,0.2,0.56,0.16,0.12,0.04,0.12,0.08,0.02,0.6,0.4,0.1,https://spark-interfax.ru/system/home/card#/company/8D6F4948DA4F76C0E0531C9AA8C00FAB/101,0,"75,7","4,6",1,2,9717084160
37,2026-01-16T19:36:41+00:00,Смоленская,Абу Гош,"пер. Сивцев Вражек, 15/25",0.0,37.594486,55.747366,0.0,2000.0,Café,763.0,1724,4.7,2355.0,1570,1.0,2.0,10.0,4.8,4.7,4.35,0,0,50,455,72,0.56,0.06,0.38,0.18,0.28,0.3,0.08,0.2,0.24,0.04,0.5263,0.6316,0.1053,-,-,-,-,-,-,-
38,2026-01-16T12:06:32+00:00,Цветной бульвар,Валенок,Цветной бульвар,0.0,37.621099,55.769819,0.0,2000.0,Restaurant,186.0,1574,4.7,11010.0,7340,4.0,10.0,24.0,4.65,4.6,4.5875,0,0,50,478,72,0.7,0.08,0.22,0.48,0.28,0.12,0.06,0.16,0.04,0.04,0.7273,0.1818,0.1818,-,-,-,-,-,-,-
39,2026-01-14T16:46:49+00:00,Китай-город,Smoky BBQ,Центральный рынок на Маросейке,0.0,37.633504,55.757355,0.0,1100.0,Fast-food outlet,229.0,1010,4.8,6926.0,4617,18.0,27.0,32.0,4.2111,4.2577,4.3161,0,0,50,336,51,0.68,0.02,0.3,0.38,0.18,0.14,0.04,0.12,0.1,0.02,0.4,0.3333,0.0667,-,-,-,-,-,-,-
40,2026-01-14T14:06:27+00:00,Таганская,Шоколадница,"Большие Каменщики, 2",0.0,37.652887,55.738677,1.0,1500.0,Café,355.0,2916,4.1,2213.0,1475,4.0,12.0,27.0,3.4,4.2417,4.3192,0,0,50,551,86,0.12,0.08,0.8,-0.68,0.48,0.34,0.04,0.38,0.34,0.02,0.475,0.425,0.025,https://spark-interfax.ru/system/home/card#/company/A17DBE6F2BE04844878379833FB9C4A9/101,0,97,-513,8,0,5009051111
41,2026-01-14T17:52:12+00:00,Маяковская,Бардо,Большая Садовая,0.0,37.591854,55.766779,0.0,2750.0,Restaurant,444.0,2021,4.8,177.0,118,0.0,8.0,19.0,4.5181,4.2714,4.4333,1,0,50,181,26,0.9,0.0,0.1,0.8,0.02,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.2,-,-,-,-,-,-,-
42,2026-01-14T16:46:49+00:00,Китай-город,Shawarma Bar,Центральный рынок на Маросейке,1.0,37.633504,55.757355,0.0,1000.0,Fast-food outlet,229.0,1010,4.8,6926.0,4617,18.0,27.0,32.0,4.2111,4.2577,4.3161,0,0,3,392,59,1.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://spark-interfax.ru/system/home/card#/company/CFF0B4555BD146589973814AC2332392/101,0,-,-,-,-,7706606396
43,2026-01-14T14:06:27+00:00,Сухаревская,Шоколадница,"Сретенка, 36",0.0,37.632749,55.77162,1.0,1500.0,Café,194.0,1998,4.3,527.0,351,10.0,26.0,37.0,4.68,4.564,4.6139,0,0,50,342,50,0.84,0.04,0.12,0.72,0.2,0.08,0.02,0.06,0.04,0.0,0.5,0.3333,0.0,https://spark-interfax.ru/system/home/card#/company/A17DBE6F2BE04844878379833FB9C4A9/101,0,97,-513,8,0,5009051111
44,2026-01-14T10:28:34+00:00,Новокузнецкая,"Дорогая, я перезвоню",Пятницкий переулок,0.0,37.629982,55.743036,1.0,1500.0,Bar,173.0,1617,4.5,3459.0,2306,0.0,3.0,14.0,4.5655,4.8,4.5214,1,0,50,288,44,0.62,0.06,0.32,0.3,0.14,0.08,0.06,0.08,0.06,0.04,0.25,0.1875,0.125,-,-,-,-,-,-,-
45,2026-01-13T15:46:53+00:00,Пушкинская,ВЛавке,Патрики,0.0,37.592185,55.763859,1.0,700.0,Café,991.0,1825,4.2,329.0,219,2.0,15.0,29.0,4.4,4.5308,4.5654,0,0,50,192,28,0.72,0.14,0.14,0.58,0.08,0.1,0.14,0.02,0.06,0.04,0.1429,0.4286,0.2857,https://spark-interfax.ru/system/home/card#/company/732EA799DA1C3F94E0531B9AA8C0BBD7/101,1,"66,2","-4,4",19,0,7702435975
46,2026-01-11T07:00:24+00:00,Цветной бульвар,Шаурма 24,"Цветной бульвар, 19с5",1.0,37.619635,55.771742,1.0,700.0,Fast-food outlet,120.0,1777,4.2,73.0,49,11.0,24.0,27.0,4.66,4.5227,4.504,0,0,44,132,20,0.4545,0.0682,0.4773,-0.0227,0.0909,0.1364,0.0227,0.0909,0.1136,0.0,0.1905,0.2381,0.0,https://spark-interfax.ru/system/home/card#/physicalperson/inn-231849419020/1,ИП,-,-,-,-,231849419020
47,2026-01-07T13:04:58+00:00,Китай-город,Джаганнат,"Маросейка, 4/2с1",0.0,37.633504,55.757355,1.0,500.0,Café,229.0,1010,4.4,1201.0,801,20.0,35.0,41.0,4.265,4.3882,4.425,0,0,50,263,41,0.72,0.08,0.2,0.52,0.08,0.18,0.08,0.02,0.12,0.0,0.1,0.6,0.0,https://spark-interfax.ru/system/home/card#/company/460257053B5AA7EDE063239AA8C0C1C3/101,0,-,-,0,0,9709130743
48,2026-01-07T12:04:58+00:00,Чистые пруды,Чапа,"ул. Жуковского, 1/2/10с2",1.0,37.645316,55.764284,0.0,500.0,Coffee shop,437.0,1974,4.2,194.0,129,2.0,5.0,12.0,4.7,4.62,3.8917,0,0,50,445,70,0.48,0.14,0.38,0.1,0.3,0.28,0.02,0.18,0.14,0.0,0.4737,0.3684,0.0,-,-,-,-,-,-,-
49,2026-01-03T13:41:20+00:00,Александровский сад,Папа Блюз бар,"Cтароваганьковский переулок, 19с3",0.0,37.606462,55.751219,0.0,2000.0,Bar,191.0,863,4.9,4876.0,3251,6.0,8.0,8.0,4.56,4.6714,4.6714,0,0,50,461,68,0.76,0.08,0.16,0.6,0.16,0.06,0.1,0.08,0.04,0.02,0.5,0.25,0.125,-,-,-,-,-,-,-
50,2026-01-02T19:04:58+00:00,Тверская,The Hat,"Тверская, 20",0.0,37.602635,55.766625,0.0,2000.0,Bar,323.0,1525,4.9,990.0,660,0.0,4.0,11.0,4.5655,4.5,4.48,1,0,50,292,43,0.86,0.02,0.12,0.74,0.02,0.04,0.04,0.02,0.02,0.0,0.1667,0.1667,0.0,-,-,-,-,-,-,-
51,2026-01-02T16:04:58+00:00,Курская,Арго,"Покровка, 38с1",1.0,37.651325,55.761299,0.0,800.0,Café,573.0,2197,5.0,55.0,37,5.0,18.0,28.0,4.68,4.65,4.6536,0,0,8,230,34,0.75,0.0,0.25,0.5,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
52,2026-01-02T12:21:38+00:00,Баррикадная,Historia,"Большая Никитская ул., 58",1.0,37.586751,55.758754,0.0,3600.0,Restaurant,529.0,1958,4.7,1543.0,1029,3.0,10.0,20.0,4.6,4.54,4.685,0,0,50,624,91,0.9,0.06,0.04,0.86,0.22,0.1,0.1,0.02,0.0,0.02,0.5,0.0,0.5,-,-,-,-,-,-,-
53,2026-01-01T19:40:50+00:00,Парк культуры,Кампус,"Смоленский бульвар, 3-5с1А",0.0,37.583929,55.739884,0.0,1250.0,Café,805.0,2752,4.4,1828.0,1219,1.0,3.0,14.0,5.0,4.8667,4.6667,0,0,50,375,55,0.74,0.08,0.18,0.56,0.1,0.14,0.0,0.06,0.1,0.0,0.3333,0.5556,0.0,https://spark-interfax.ru/system/home/card#/company/4B222300A42C4150A7049AE3C800B3B4/101,0,"53,3","0,056",2,4,7728725735
54,2025-12-31T11:49:58+00:00,Новокузнецкая,Touch Chef’s Place,"Садовническая наб., 7",0.0,37.628517,55.746607,0.0,1750.0,Restaurant,571.0,1229,4.8,1214.0,809,1.0,10.0,22.0,4.4,4.66,4.4818,0,0,50,371,55,0.86,0.02,0.12,0.74,0.14,0.0,0.0,0.08,0.0,0.0,0.6667,0.0,0.0,-,-,-,-,-,-,-
55,2025-12-28T15:36:04+00:00,Маяковская,Бико,"2-ая Тверская-Ямская, 18",0.0,37.594674,55.771817,0.0,500.0,Bakery,203.0,2287,4.7,216.0,144,0.0,10.0,19.0,4.4835,4.62,4.5941,1,0,50,304,45,0.64,0.02,0.34,0.3,0.12,0.32,0.06,0.08,0.26,0.04,0.2353,0.7647,0.1176,-,-,-,-,-,-,-
56,2025-12-28T13:31:58+00:00,Октябрьская,Special,"Большая Якиманка, 32",1.0,37.61232,55.734758,0.0,650.0,Coffee shop,597.0,2363,5.0,210.0,140,3.0,5.0,9.0,4.9333,4.95,4.3286,0,0,50,308,45,0.94,0.02,0.04,0.9,0.04,0.04,0.06,0.0,0.02,0.02,0.0,0.5,0.5,-,-,-,-,-,-,-
57,2025-12-27T11:39:01+00:00,Китай-город,Метафора бар,"Маросейка, 6-8с1 ",0.0,37.634602,55.757222,0.0,1500.0,Bar,229.0,1076,4.6,2373.0,1582,7.0,17.0,20.0,4.6286,4.5176,4.5368,0,0,50,456,70,0.5,0.04,0.46,0.04,0.22,0.2,0.18,0.18,0.12,0.12,0.3913,0.2609,0.2609,https://spark-interfax.ru/system/home/card#/company/82B3BF93C8A5032CE0531B9AA8C021BF/101,0,"90,3","26,3",1,1,7811721550
58,2025-12-25T15:49:04+00:00,Китай-город,Blanc,"Хохловский пер., 7-9с2",0.0,37.643724,55.755999,0.0,3000.0,Restaurant,657.0,1635,4.8,10163.0,6775,0.0,10.0,16.0,4.5181,4.37,4.4125,1,0,50,479,71,0.8,0.06,0.14,0.66,0.18,0.08,0.0,0.04,0.0,0.0,0.2857,0.0,0.0,-,-,-,-,-,-,-
59,2025-12-24T09:29:09+00:00,Таганская,Пан Запекан,"Земляной Вал, 64с2",0.0,37.654758,55.746216,1.0,700.0,Coffee shop,527.0,2558,4.7,507.0,338,3.0,10.0,19.0,3.2667,4.34,4.45,0,0,50,352,54,0.62,0.04,0.34,0.28,0.22,0.14,0.08,0.16,0.06,0.02,0.4706,0.1765,0.0588,https://spark-interfax.ru/system/home/card#/company/D6A90511A8DB32FEE053259AA8C029D0/101,0,"28,4","-0,128",8,0,9709077578
60,2025-12-24T05:59:47+00:00,Павелецкая,Пан Запекан,"Кожевническая, 10с1 ",0.0,37.645406,55.729307,1.0,700.0,Coffee shop,500.0,3422,4.3,1627.0,1085,4.0,15.0,26.0,4.15,4.5571,4.3435,0,0,50,301,46,0.52,0.12,0.36,0.16,0.18,0.2,0.12,0.16,0.16,0.06,0.4444,0.4444,0.1667,https://spark-interfax.ru/system/home/card#/company/D6A90511A8DB32FEE053259AA8C029D0/101,0,"28,4","-0,128",8,0,9709077578
